,Project,Attribute,W/ C Mean,W/O C Mean,W/ C Kurtosis,W/O C Kurtosis,W/ C Normal Kurtosis,W/O C Normal Kurtosis,W/ C Anderson-Darling,W/O C Anderson-Darling,W/ C Normal Anderson-Darling,W/O C Normal Anderson-Darling,Inconsistencies,Test,P-value,Effect Size,Delta,Meaning
0,<all>,Branching-duration,18.527283798192993,6.258406241260307,0.0,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,0.0,Cliff's Delta,-0.302314051227934,small
1,<all>,Total-duration,19.713451933329722,7.266085592324451,0.0,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,0.0,Cliff's Delta,-0.2651948331200184,small
2,<all>,Commits B1,252.9090296874123,73.51075072664696,0.0,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,0.0,Cliff's Delta,-0.24491526382871717,small
3,<all>,Commits B2,81.07194567596386,9.762286110401693,0.0,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,0.0,Cliff's Delta,-0.5277859729453053,large
4,<all>,Committers B1,21.307817498176103,8.522741921753195,0.0,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,0.323334645752322,No,-,-
5,<all>,Committers B2,9.398058252427184,2.0101426538728155,0.0,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,0.0,Cliff's Delta,-0.4793569875328251,large
6,<all>,Changed Files B1,425.43627588529097,100.79561457915284,0.0,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,0.0,Cliff's Delta,-0.29339334824268126,small
7,<all>,Changed Files B2,166.30254223020373,21.43159181290817,0.0,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,0.0,Cliff's Delta,-0.5691367544394172,large
8,atom,Branching-duration,20.645372340425535,5.198125661842614,1.540044454844442e-115,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,1.5056760513870563e-23,Cliff's Delta,-0.3169559372441814,small
9,atom,Total-duration,21.205691489361712,5.748005647723281,1.7805327360031537e-115,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,3.864441749098454e-19,Cliff's Delta,-0.2833653145676713,small
10,atom,Commits B1,64.90159574468085,39.98976350158842,9.068775276010877e-149,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,8.522954509153875e-09,Cliff's Delta,-0.18196164504960533,small
11,atom,Commits B2,138.1090425531915,15.036357218496294,1.1687747744631692e-123,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,4.1142902849832045e-69,Cliff's Delta,-0.5452306028493965,large
12,atom,Committers B1,3.7367021276595747,3.9569361101306035,5.214832819239785e-128,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,5.281337697097287e-12,Cliff's Delta,0.20861090040630562,small
13,atom,Committers B2,8.867021276595745,2.057183198023297,2.3303164797390643e-102,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,5.771201764927959e-113,Cliff's Delta,-0.5921068936771035,large
14,atom,Changed Files B1,27.10372340425532,20.186374867631486,1.1462709342585637e-94,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,3.5968834888601284e-14,Cliff's Delta,-0.23926125226246892,small
15,atom,Changed Files B2,56.86702127659574,15.38722202612072,8.345130290831067e-78,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,5.747594088307286e-72,Cliff's Delta,-0.5602276738439816,large
16,ghost,Branching-duration,10.311111111111108,2.0674512987013034,7.227440645939743e-17,0.0,False,False,8.553172705357056e-17,3.7e-24,False,False,False,Mann-Whitney,2.1880435070073455e-06,Cliff's Delta,-0.46018217893217894,medium
17,ghost,Total-duration,12.564999999999998,2.6977759740259746,2.388284224468105e-13,0.0,False,False,1.6067371715523388e-18,3.7e-24,False,False,False,Mann-Whitney,2.109596981240772e-05,Cliff's Delta,-0.4133297258297258,medium
18,ghost,Commits B1,40.0,7.205627705627705,1.0606895561348221e-15,0.0,False,False,1.1107486678052026e-15,3.7e-24,False,False,False,Mann-Whitney,2.246048633776942e-06,Cliff's Delta,-0.454740860990861,medium
19,ghost,Commits B2,19.61111111111111,1.2673160173160174,4.686686961610989e-09,0.0,False,False,7.62439730840446e-11,3.7e-24,False,False,False,Mann-Whitney,7.289420115255212e-76,Cliff's Delta,-0.8091029341029341,large
20,ghost,Committers B1,6.861111111111111,3.3836580086580086,7.990910428027478e-15,0.0,False,False,4.3631694224419344e-14,3.7e-24,False,False,False,Mann-Whitney,0.0013774693735099193,Cliff's Delta,-0.30400733525733525,small
21,ghost,Committers B2,4.555555555555555,1.0367965367965368,0.005149291605999406,0.0,False,False,1.0387395793148752e-06,3.7e-24,False,False,False,Mann-Whitney,1.7573041324005403e-101,Cliff's Delta,-0.6810666185666185,large
22,ghost,Changed Files B1,139.72222222222223,24.147186147186147,8.534086238641497e-05,0.0,False,False,1.066614746079968e-08,3.7e-24,False,False,False,Mann-Whitney,1.198082433903875e-10,Cliff's Delta,-0.6249849687349688,large
23,ghost,Changed Files B2,39.02777777777778,4.805194805194805,1.5705549475011087e-11,0.0,False,False,2.9206012586414276e-11,3.7e-24,False,False,False,Mann-Whitney,1.2875200345022797e-17,Cliff's Delta,-0.811026936026936,large
24,serverless,Branching-duration,19.659259259259276,7.779935525467457,5.825590331092539e-49,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,9.11394236023809e-10,Cliff's Delta,-0.2920298334009918,small
25,serverless,Total-duration,20.34691358024691,8.661818181818186,7.142163774734726e-49,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,1.0917993460784491e-07,Cliff's Delta,-0.25324561612977686,small
26,serverless,Commits B1,16.530864197530864,27.555125725338492,2.8071076936371297e-43,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,0.0013536158610156384,Cliff's Delta,0.15188528309095686,small
27,serverless,Commits B2,87.16666666666667,11.032882011605416,9.469884619301173e-50,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,6.788932896129492e-42,Cliff's Delta,-0.6280933845945667,large
28,serverless,Committers B1,2.271604938271605,6.604771115409413,7.921965456054618e-47,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,2.6498585423433907e-19,Cliff's Delta,0.4115106940166042,medium
29,serverless,Committers B2,15.895061728395062,2.736943907156673,2.334627156472079e-44,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,2.3547708291375064e-54,Cliff's Delta,-0.6079590228526399,large
30,serverless,Changed Files B1,22.006172839506174,31.342359767891683,3.3144113146103276e-41,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,0.13420786270430773,No,-,-
31,serverless,Changed Files B2,92.6604938271605,13.910380399742102,7.045178964206131e-38,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,2.4312524174707044e-48,Cliff's Delta,-0.6875293518319523,large
32,babel,Branching-duration,16.49034188034189,4.2171840659340765,1.0066217634998888e-40,8.165308930927e-184,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,1.9051116239993962e-11,Cliff's Delta,-0.3862355593124824,medium
33,babel,Total-duration,21.191452991452987,5.305563186813195,5.989451684656373e-37,3.3733107754942516e-173,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,3.176639193853623e-11,Cliff's Delta,-0.3819620550389781,medium
34,babel,Commits B1,56.495726495726494,17.292582417582416,6.49556839809577e-28,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,3.561148668649596e-21,Cliff's Delta,-0.5401638959331267,large
35,babel,Commits B2,18.128205128205128,3.09478021978022,7.139682079184544e-28,4.13953553868852e-309,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,6.130626924712662e-30,Cliff's Delta,-0.5997933690241383,large
36,babel,Committers B1,5.965811965811966,4.043956043956044,3.672432431111351e-39,7.534216384739604e-251,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,0.0015567956232952049,Cliff's Delta,-0.17365220249835633,small
37,babel,Committers B2,3.8974358974358974,1.2747252747252746,1.991085258115936e-41,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,9.691737469690666e-44,Cliff's Delta,-0.5071029397952476,large
38,babel,Changed Files B1,446.96581196581195,121.61950549450549,1.0753903876010394e-24,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,8.782693942164434e-11,Cliff's Delta,-0.37273410350333425,medium
39,babel,Changed Files B2,170.05128205128204,23.49587912087912,6.883328662475445e-46,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,4.101071363548049e-21,Cliff's Delta,-0.5342467361698131,large
40,webpack,Branching-duration,13.239315589353616,5.460024783147474,4.257980900092628e-61,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,2.3276240778248707e-26,Cliff's Delta,-0.40794662671208676,medium
41,webpack,Total-duration,14.289581749049434,6.755867410161096,1.4765600743775042e-60,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,8.622051680492622e-20,Cliff's Delta,-0.34965675811930774,medium
42,webpack,Commits B1,164.11406844106463,25.796158612143742,6.186573710546768e-25,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,1.6734851987071566e-18,Cliff's Delta,-0.33530043676763677,medium
43,webpack,Commits B2,62.258555133079845,4.162949194547708,1.5199137901556373e-63,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,7.68667767410412e-108,Cliff's Delta,-0.7930489396487954,large
44,webpack,Committers B1,7.258555133079848,4.480793060718711,2.718417626313264e-24,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,0.016901394760945817,Cliff's Delta,-0.0882911407315269,negligible
45,webpack,Committers B2,9.11787072243346,1.3940520446096654,2.8782135479553343e-57,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,2.024182012813624e-144,Cliff's Delta,-0.7416875156072578,large
46,webpack,Changed Files B1,342.851711026616,52.05762081784387,3.4893471065207215e-12,0.0,False,False,3.7e-24,3.7e-24,False,False,False,Mann-Whitney,6.900144168865206e-25,Cliff's Delta,-0.3945844582338003,medium
